"category","repository","url","description","access","research_snapshot","platforms","platform_notes","platform_source","platform_checked_at","stars","last_pushed_at","metadata_checked_at"
"Productivity scripts, workflow bridges, and integrations","eric-with-a-c/resolve-otio","https://github.com/eric-with-a-c/resolve-otio","OpenTimelineIO interoperability with Resolve.","Public","2026-09-06","Windows;macOS;Linux","Windows instructions provided, but Windows is explicitly untested.","https://github.com/eric-with-a-c/resolve-otio#readme","2026-09-06","27","2022-01-01T20:25:00Z","2026-09-15T05:06:04.860Z"
"Productivity scripts, workflow bridges, and integrations","tin2tin/VSE_OTIO_Export","https://github.com/tin2tin/VSE_OTIO_Export","Blender Video Sequence Editor timeline export through OpenTimelineIO.","Public","2026-09-06","Windows","Windows setup documented; other platforms not established in this review.","https://github.com/tin2tin/VSE_OTIO_Export#readme","2026-09-06","32","2023-11-02T08:09:27Z","2026-09-15T05:06:04.860Z"
"Productivity scripts, workflow bridges, and integrations","MansiVisuals/Font-Scanner-and-Installer-for-DaVinci-Resolve","https://github.com/MansiVisuals/Font-Scanner-and-Installer-for-DaVinci-Resolve","Helps locate/install fonts for Resolve workflows. Font licenses remain separate.","Free","2026-09-06","Windows;macOS;Linux","Fully tested only on macOS; basic Windows/Linux support.","https://github.com/MansiVisuals/Font-Scanner-and-Installer-for-DaVinci-Resolve#readme","2026-09-06","5","2025-05-21T13:34:11Z","2026-09-15T05:06:04.860Z"
"Productivity scripts, workflow bridges, and integrations","LucasHT22/davinci-resolve-wakatime","https://github.com/LucasHT22/davinci-resolve-wakatime","WakaTime activity-tracking integration. External service terms are separate.","Public + service","2026-09-06","Windows","Windows checked in upstream table; Mac remains unconfirmed.","https://github.com/LucasHT22/davinci-resolve-wakatime#readme","2026-09-06","22","2025-06-16T21:06:09Z","2026-09-15T05:06:04.860Z"
"Encoding, codecs, proxy generation, rendering, and project servers","EdvinNilsson/ffmpeg_encoder_plugin","https://github.com/EdvinNilsson/ffmpeg_encoder_plugin","FFmpeg-powered export/encoding plugin for Resolve Studio.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/EdvinNilsson/ffmpeg_encoder_plugin#readme","2026-09-06","234","2026-08-10T19:49:33Z","2026-09-15T05:06:04.860Z"
"Encoding, codecs, proxy generation, rendering, and project servers","Toxblh/davinci-linux-aac-codec","https://github.com/Toxblh/davinci-linux-aac-codec","AAC encoding plugin for Resolve Studio on Linux.","Public","2026-09-06","Linux","","https://github.com/Toxblh/davinci-linux-aac-codec#readme","2026-09-06","119","2025-08-13T00:19:02Z","2026-09-15T05:06:04.860Z"
"Encoding, codecs, proxy generation, rendering, and project servers","hexitnz/Resolve-Linux-Studio-AAC-FDK-Encoder-plugin","https://github.com/hexitnz/Resolve-Linux-Studio-AAC-FDK-Encoder-plugin","FDK-based AAC audio encoding on Linux. Studio required.","Public","2026-09-06","Linux","","https://github.com/hexitnz/Resolve-Linux-Studio-AAC-FDK-Encoder-plugin#readme","2026-09-06","30","2026-06-21T21:59:55Z","2026-09-15T05:06:04.860Z"
"Encoding, codecs, proxy generation, rendering, and project servers","nowrep/dvcp-vaapi","https://github.com/nowrep/dvcp-vaapi","VAAPI video encoder plugin. Check hardware, driver, and Resolve requirements.","Public","2026-09-06","Linux","","https://github.com/nowrep/dvcp-vaapi#readme","2026-09-06","40","2025-05-18T08:57:44Z","2026-09-15T05:06:04.860Z"
"Encoding, codecs, proxy generation, rendering, and project servers","in03/proxima","https://github.com/in03/proxima","Queues, distributes, encodes, and automatically links proxy media across workers.","Public","2026-09-06","Windows;macOS;Linux","","https://github.com/in03/proxima#readme","2026-09-06","74","2026-09-14T20:09:50Z","2026-09-15T05:06:04.860Z"
"Encoding, codecs, proxy generation, rendering, and project servers","Puppetworks-Animation-Studio/deadline-davinci-resolve","https://github.com/Puppetworks-Animation-Studio/deadline-davinci-resolve","Thinkbox Deadline render-farm integration. Check current compatibility carefully.","Public; infrastructure separate","2026-09-06","Unverified","","https://github.com/Puppetworks-Animation-Studio/deadline-davinci-resolve#readme","2026-09-06","38","2020-12-02T09:17:35Z","2026-09-15T05:06:04.860Z"
"Encoding, codecs, proxy generation, rendering, and project servers","elliotmatson/Docker-Davinci-Resolve-Project-Server","https://github.com/elliotmatson/Docker-Davinci-Resolve-Project-Server","Containerized PostgreSQL project server with automatic backups.","Free; infrastructure separate","2026-09-06","Windows;macOS;Linux","Docker server hosts, not Resolve desktop-client compatibility.","https://github.com/elliotmatson/Docker-Davinci-Resolve-Project-Server#readme","2026-09-06","318","2026-08-06T20:47:09Z","2026-09-15T05:06:04.860Z"
"Encoding, codecs, proxy generation, rendering, and project servers","sethgoldin/davinci-resolve-postgresql-workflow-tools","https://github.com/sethgoldin/davinci-resolve-postgresql-workflow-tools","Automatic project-database backups and maintenance.","Public","2026-09-06","macOS;Linux","PostgreSQL server hosts; macOS and RHEL workflows.","https://github.com/sethgoldin/davinci-resolve-postgresql-workflow-tools#readme","2026-09-06","102","2023-03-16T23:06:19Z","2026-09-15T05:06:04.860Z"
"Encoding, codecs, proxy generation, rendering, and project servers","jonnyhyman/ResolveCollaboration","https://github.com/jonnyhyman/ResolveCollaboration","Utilities extending older live-collaboration workflows; compare against newer native options.","Public","2026-09-06","Windows;macOS","Windows/macOS downloads; Linux still requests beta testers.","https://github.com/jonnyhyman/ResolveCollaboration#readme","2026-09-06","36","2022-04-20T18:07:13Z","2026-09-15T05:06:04.860Z"
"Linux installation, compatibility, and troubleshooting","zelikos/davincibox","https://github.com/zelikos/davincibox","Containerized Resolve dependencies using Distrobox/Podman; particularly aimed at atomic/image-based distributions.","Free","2026-09-06","Linux","","https://github.com/zelikos/davincibox#readme","2026-09-06","997","2026-09-12T21:38:38Z","2026-09-15T05:06:04.860Z"
"Linux installation, compatibility, and troubleshooting","fat-tire/resolve","https://github.com/fat-tire/resolve","Container scripts for building and running Resolve on Linux.","Public","2026-09-06","Linux","Linux x86-64 with NVIDIA.","https://github.com/fat-tire/resolve#readme","2026-09-06","298","2025-08-30T23:31:06Z","2026-09-15T05:06:04.860Z"
"Linux installation, compatibility, and troubleshooting","H3rz3n/davinci-helper","https://github.com/H3rz3n/davinci-helper","Linux companion utilities for Resolve.","Public","2026-09-06","Linux","Fedora family only; Debian support is planned.","https://github.com/H3rz3n/davinci-helper#readme","2026-09-06","313","2025-07-29T10:48:25Z","2026-09-15T05:06:04.860Z"
"Linux installation, compatibility, and troubleshooting","flolu/davinci-resolve-linux","https://github.com/flolu/davinci-resolve-linux","Setup instructions and import/export workarounds.","Public","2026-09-06","Linux","Debian/Ubuntu guide.","https://github.com/flolu/davinci-resolve-linux#readme","2026-09-06","264","2025-03-31T16:09:05Z","2026-09-15T05:06:04.860Z"
"Linux installation, compatibility, and troubleshooting","Ashark/davinci-resolve-checker","https://github.com/Ashark/davinci-resolve-checker","Checks system configuration and hardware suitability for Resolve.","Public","2026-09-06","Linux","","https://github.com/Ashark/davinci-resolve-checker#readme","2026-09-06","174","2026-03-13T08:03:56Z","2026-09-15T05:06:04.860Z"
"Linux installation, compatibility, and troubleshooting","psygreg/autoresolvedeb","https://github.com/psygreg/autoresolvedeb","Automates downloading and repackaging Resolve through MakeResolveDeb.","Public","2026-09-06","Linux","","https://github.com/psygreg/autoresolvedeb#readme","2026-09-06","30","2026-09-11T16:21:05Z","2026-09-15T05:06:04.860Z"
"Linux installation, compatibility, and troubleshooting","yioannides/fedora-resolve","https://github.com/yioannides/fedora-resolve","Fedora installation scripts. The maintainer warns the method may already be obsolete.","Free; legacy warning","2026-09-06","Linux","Fedora; legacy method may be obsolete.","https://github.com/yioannides/fedora-resolve#readme","2026-09-06","26","2026-08-08T05:46:40Z","2026-09-15T05:06:04.860Z"
"Linux installation, compatibility, and troubleshooting","Chillsmeit/resolve-tumbleweed","https://github.com/Chillsmeit/resolve-tumbleweed","openSUSE Tumbleweed fixes. Maintainer no longer uses that distribution.","Free; maintenance caution","2026-09-06","Linux","openSUSE Tumbleweed; maintainer no longer uses this distribution.","https://github.com/Chillsmeit/resolve-tumbleweed#readme","2026-09-06","20","2026-08-03T06:27:34Z","2026-09-15T05:06:04.860Z"
"Developer libraries and scripting references","pedrolabonia/pydavinci","https://github.com/pedrolabonia/pydavinci","Higher-level Python package for scripting Resolve.","Public","2026-09-06","Unverified","","https://github.com/pedrolabonia/pydavinci#readme","2026-09-06","181","2026-04-01T19:33:03Z","2026-09-15T05:06:04.860Z"
"Developer libraries and scripting references","WheheoHu/pybmd","https://github.com/WheheoHu/pybmd","Python wrapper around the Resolve API.","Public","2026-09-06","Windows;macOS","","https://github.com/WheheoHu/pybmd#readme","2026-09-06","34","2026-07-10T06:54:16Z","2026-09-15T05:06:04.860Z"
"Developer libraries and scripting references","diop/davinci-resolve-api","https://github.com/diop/davinci-resolve-api","Community Python API documentation. Treat it as a reference, not the latest official SDK.","Free reference","2026-09-06","Reference","","https://github.com/diop/davinci-resolve-api#readme","2026-09-06","98","2019-03-12T19:11:24Z","2026-09-15T05:06:04.860Z"
"Developer libraries and scripting references","MokshC/easyDCTL","https://github.com/MokshC/easyDCTL","Interface/tooling for creating DCTLs.","Public","2026-09-06","Unverified","","https://github.com/MokshC/easyDCTL#readme","2026-09-06","4","2024-10-02T03:05:25Z","2026-09-15T05:06:04.860Z"
"Developer libraries and scripting references","AndrewHazelden/Fusion-Studio-FuScript-IDE-Tools-and-Pipeline-Scripts","https://github.com/AndrewHazelden/Fusion-Studio-FuScript-IDE-Tools-and-Pipeline-Scripts","IDE and pipeline scripting integrations, including macOS/BBEdit-oriented workflows.","Public","2026-09-06","macOS","","https://github.com/AndrewHazelden/Fusion-Studio-FuScript-IDE-Tools-and-Pipeline-Scripts#readme","2026-09-06","9","2018-09-18T12:48:26Z","2026-09-15T05:06:04.860Z"
"Hardware, control surfaces, MIDI, and Speed Editor tools","PuzzleEmptyM/Unbound-editor-device-customizer","https://github.com/PuzzleEmptyM/Unbound-editor-device-customizer","Remaps controller buttons and jog-wheel actions outside Resolve; Windows/macOS builds.","Public; hardware separate","2026-09-06","Windows;macOS","Windows 10/11; macOS 13+ with Intel and Apple Silicon builds.","https://github.com/PuzzleEmptyM/Unbound-editor-device-customizer#readme","2026-09-06","43","2026-04-01T20:36:56Z","2026-09-15T05:06:04.860Z"
"Hardware, control surfaces, MIDI, and Speed Editor tools","fashberg/XTouchMini-Davinci-Resolve-Midi-Adapter","https://github.com/fashberg/XTouchMini-Davinci-Resolve-Midi-Adapter","Uses a Behringer X-Touch Mini to control Resolve through Windows hotkeys.","Public; hardware separate","2026-09-06","Windows","","https://github.com/fashberg/XTouchMini-Davinci-Resolve-Midi-Adapter#readme","2026-09-06","30","2021-02-14T19:52:23Z","2026-09-15T05:06:04.860Z"
"Hardware, control surfaces, MIDI, and Speed Editor tools","RudyB24/AutoHotKey_Bome_MIDI_2_Key","https://github.com/RudyB24/AutoHotKey_Bome_MIDI_2_Key","Maps incoming MIDI messages to Resolve keyboard shortcuts.","Public; dependencies separate","2026-09-06","Windows","","https://github.com/RudyB24/AutoHotKey_Bome_MIDI_2_Key#readme","2026-09-06","21","2022-11-08T10:10:40Z","2026-09-15T05:06:04.860Z"
"Hardware, control surfaces, MIDI, and Speed Editor tools","shaise/DiSE","https://github.com/shaise/DiSE","DIY speed-editor hardware for Resolve and other video-editing applications.","Public; build cost","2026-09-06","Unverified","","https://github.com/shaise/DiSE#readme","2026-09-06","60","2023-02-08T18:16:03Z","2026-09-15T05:06:04.860Z"
"Hardware, control surfaces, MIDI, and Speed Editor tools","KipJM/blackmacro-hardware","https://github.com/KipJM/blackmacro-hardware","Configurable DIY editing keyboard based on Raspberry Pi Pico 2W.","Public; build cost","2026-09-06","Unverified","","https://github.com/KipJM/blackmacro-hardware#readme","2026-09-06","24","2026-08-23T13:34:52Z","2026-09-15T05:06:04.860Z"
"Hardware, control surfaces, MIDI, and Speed Editor tools","derwok/SpeedEditorCheatSheet","https://github.com/derwok/SpeedEditorCheatSheet","Printable Speed Editor reference/cheat sheet.","Free reference","2026-09-06","Reference","","https://github.com/derwok/SpeedEditorCheatSheet#readme","2026-09-06","41","2024-01-09T00:33:46Z","2026-09-15T05:06:04.860Z"
"Directories covering free and commercial products","Greenysmac/awesome-davinci-resolve","https://github.com/Greenysmac/awesome-davinci-resolve","Broad community directory spanning AI tools, audio, DCTLs, effects, templates, and workflows.","Free/paid product directory","2026-09-06","Reference","","https://github.com/Greenysmac/awesome-davinci-resolve#readme","2026-09-06","300","2026-09-07T00:53:29Z","2026-09-15T05:06:04.860Z"
"Directories covering free and commercial products","cutbypham/awesome-davinci-resolve","https://github.com/cutbypham/awesome-davinci-resolve","Plugins, scripts, assets, and editing resources. Bundled copies may be older than upstream releases.","Free/paid resource directory","2026-09-06","Reference","","https://github.com/cutbypham/awesome-davinci-resolve#readme","2026-09-06","64","2026-08-27T14:29:12Z","2026-09-15T05:06:04.860Z"
"Directories covering free and commercial products","Akascape/PluginLibrary-Resolve","https://github.com/Akascape/PluginLibrary-Resolve","Launcher/catalogue linking to free and commercial plugins; it does not grant paid-product licenses.","Mixed","2026-09-06","Unverified","","https://github.com/Akascape/PluginLibrary-Resolve#readme","2026-09-06","10","2026-08-23T17:35:29Z","2026-09-15T05:06:04.860Z"
"Directories covering free and commercial products","hassaancode/Fx-Library","https://github.com/hassaancode/Fx-Library","Resolve/After Effects effects and creative-resource directory.","Mixed","2026-09-06","Unverified","","https://github.com/hassaancode/Fx-Library#readme","2026-09-06","2","2025-12-21T18:01:00Z","2026-09-15T05:06:04.860Z"
"Directories covering free and commercial products","CommandPost/ResolveCafe","https://github.com/CommandPost/ResolveCafe","Community references, developer material, and website source. Archived in May 2025.","Free reference; archived","2026-09-06","Reference","","https://github.com/CommandPost/ResolveCafe#readme","2026-09-06","20","2024-05-23T18:28:26Z","2026-09-15T05:06:04.860Z"
"Productivity scripts, workflow bridges, and integrations","vulture-s/arkiv","https://github.com/vulture-s/arkiv","Local-first footage indexing, semantic search, metadata, and Resolve import/marker workflows. PolyForm Perimeter source-available licence; not MIT. Requires external local AI/media dependencies.","Free; source-available, restricted competing-product use","2026-09-06","Windows;macOS;Linux","Prebuilt apps: Windows x64 and macOS Apple Silicon. Linux and Intel Mac require source setup.","https://github.com/vulture-s/arkiv#readme","2026-09-06","72","2026-09-14T21:08:43Z","2026-09-15T05:06:04.860Z"
"Subtitles, transcription, dialogue cleanup, and automatic editing","abhirup780/fast-autocut","https://github.com/abhirup780/fast-autocut","Silence removal that builds a new timeline while retaining externally recorded audio sync. Windows, Resolve Studio 18.5+, Python, and FFmpeg required.","Free","2026-09-06","Windows","Windows 10/11 only.","https://github.com/abhirup780/fast-autocut#readme","2026-09-06","2","2026-07-05T09:29:23Z","2026-09-15T05:06:04.860Z"
"Fusion, motion graphics, visual effects, and package management","Creative-Crafter/davinci-shortform-overlays","https://github.com/Creative-Crafter/davinci-shortform-overlays","Fusion generator with switchable TikTok, Shorts, and Reels safe-zone overlays; distributed as a .drfx template. Check guides against current platform layouts.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/Creative-Crafter/davinci-shortform-overlays#readme","2026-09-06","6","2026-08-21T15:35:09Z","2026-09-15T05:06:04.860Z"
"Linux installation, compatibility, and troubleshooting","JaySNL/VSTForResolveLinux","https://github.com/JaySNL/VSTForResolveLinux","Community Linux Fairlight host for VST2, VST3 and CLAP effects. Version 0.3.0.1 adds a guarded lock-order patch; the provider has not yet confirmed the original freeze is resolved. Resolve 21.1 requires the gate library and dedicated launcher; follow version-specific instructions.","Free","2026-09-06","Linux","Unofficial integration; upstream targets Resolve Studio 21.","https://github.com/JaySNL/VSTForResolveLinux#readme","2026-09-06","9","2026-09-12T13:31:50Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","roukou3/DCTL","https://github.com/roukou3/DCTL","Fisheye correction and projection conversion DCTL for Resolve Studio. Older documented Resolve versions and macOS GPU compatibility caveats.","Free","2026-09-06","Unverified","README warns of macOS Metal compatibility problems; supported OS matrix is not established.","https://github.com/roukou3/DCTL#readme","2026-09-06","37","2023-07-22T14:11:18Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","Xaryen/DCTLs","https://github.com/Xaryen/DCTLs","Minimax-style DCTL for comparing effects with After Effects. Slow at larger values; author recommends Alpha Matte Shrink and Grow OFX for production.","Public","2026-09-06","Unverified","","https://github.com/Xaryen/DCTLs#readme","2026-09-06","1","2024-01-26T18:30:12Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","mitkunz/resolve_DCTLs","https://github.com/mitkunz/resolve_DCTLs","Grading DCTLs including Technicolor-style RGB mixing, film saturation, adjustable grey cards, and letterboxing. GPL-3.0.","Free","2026-09-06","Unverified","","https://github.com/mitkunz/resolve_DCTLs#readme","2026-09-06","22","2025-07-20T20:16:51Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","xavijulez/Tetrahedral-Interpolation-DCTL","https://github.com/xavijulez/Tetrahedral-Interpolation-DCTL","CIE XYZ tetrahedral color transformation ported to DCTL, with credits to the earlier Nuke and Fusion implementations.","Free","2026-09-06","Unverified","","https://github.com/xavijulez/Tetrahedral-Interpolation-DCTL#readme","2026-09-06","17","2021-01-10T18:24:26Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","hotgluebanjo/halation-dctl","https://github.com/hotgluebanjo/halation-dctl","Adjustable halation with exponential falloff. Requires scene-linear input and the DCTL OFX effect; licensing not established.","Public","2026-09-06","Unverified","","https://github.com/hotgluebanjo/halation-dctl#readme","2026-09-06","102","2023-10-19T06:22:04Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","EaryChow/Blender-AgX-Resolve","https://github.com/EaryChow/Blender-AgX-Resolve","Experimental AgX fork with defaults aimed at Blender matching, separate working primaries, and added controls. Distinct from sobotka/AgX-Resolve; not installation-tested.","Public","2026-09-06","Unverified","","https://github.com/EaryChow/Blender-AgX-Resolve#readme","2026-09-06","3","2025-10-05T20:53:19Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","thatcherfreeman/dwg-transforms","https://github.com/thatcherfreeman/dwg-transforms","DCTL input transforms from camera and other color spaces into DaVinci Wide Gamut/Intermediate, including a GoPro GP-Log transform.","Public","2026-09-06","Unverified","","https://github.com/thatcherfreeman/dwg-transforms#readme","2026-09-06","110","2026-07-27T16:22:44Z","2026-09-15T05:06:04.860Z"
"Productivity scripts, workflow bridges, and integrations","DMiradakis/resolver","https://github.com/DMiradakis/resolver","CLI for self-contained Resolve project workflows: scaffold project folders, export render artifacts, and archive projects.","Free","2026-09-06","Unverified","","https://github.com/DMiradakis/resolver#readme","2026-09-06","5","2026-06-09T08:00:50Z","2026-09-15T05:06:04.860Z"
"Productivity scripts, workflow bridges, and integrations","adrian-goe/resolve-immich-export","https://github.com/adrian-goe/resolve-immich-export","Uploads completed Resolve renders to an Immich server and selected album. Beta; Studio 21+, an Immich instance, and API key required. README release links contain placeholders.","Public; Immich hosting separate","2026-09-06","Windows;macOS","","https://github.com/adrian-goe/resolve-immich-export#readme","2026-09-06","0","2026-04-14T15:38:56Z","2026-09-15T05:06:04.860Z"
"Productivity scripts, workflow bridges, and integrations","Googleholic/Media_Relinker_for_Davinci_Resolve","https://github.com/Googleholic/Media_Relinker_for_Davinci_Resolve","Matches renamed or moved offline media using metadata, with match review and relink history. Studio 19.1+ and ExifTool required; Windows/macOS/Linux documented.","Free","2026-09-06","Windows;macOS;Linux","ExifTool dependency setup differs by platform.","https://github.com/Googleholic/Media_Relinker_for_Davinci_Resolve#readme","2026-09-06","0","2026-04-21T09:15:36Z","2026-09-15T05:06:04.860Z"
"Productivity scripts, workflow bridges, and integrations","Pinionist/Resolve-Conform-tools","https://github.com/Pinionist/Resolve-Conform-tools","Resolve Studio Lua tools for VFX conforming, plate publishing, clip renaming, and version switching. Timeline renamer requires 20.2; see upstream retime/keyframe caveat.","Public","2026-09-06","Unverified","","https://github.com/Pinionist/Resolve-Conform-tools#readme","2026-09-06","14","2026-05-21T10:00:56Z","2026-09-15T05:06:04.860Z"
"Fusion, motion graphics, visual effects, and package management","nikita-petrovich/OFX-QRCoder","https://github.com/nikita-petrovich/OFX-QRCoder","Proof-of-concept QR-code generator for Resolve and other OpenFX hosts. macOS distribution; Windows support and performance optimization remain on the upstream to-do list.","Free","2026-09-06","macOS","Windows version is listed as future work.","https://github.com/nikita-petrovich/OFX-QRCoder#readme","2026-09-06","7","2025-07-07T21:07:51Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","JuanPabloZambrano/DCTL","https://github.com/JuanPabloZambrano/DCTL","Creative and technical DCTLs and Fusion Fuses, including the 2499 display rendering transform.","Public","2026-09-06","Windows;macOS","Installation paths documented; individual tools have separate requirements.","https://github.com/JuanPabloZambrano/DCTL#readme","2026-09-06","320","2025-11-06T20:39:32Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","KaurHendrikson/DaVinci-Resolve-DCTLs","https://github.com/KaurHendrikson/DaVinci-Resolve-DCTLs","DCTL boilerplates, reusable code snippets, example effects, and camera/intermediate transfer functions.","Free","2026-09-06","Windows;macOS;Linux","","https://github.com/KaurHendrikson/DaVinci-Resolve-DCTLs#readme","2026-09-06","39","2025-01-15T13:09:31Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","geoffsmithBK/primera-suite","https://github.com/geoffsmithBK/primera-suite","Primera grading suite for exposure, contrast, hue, split toning, and skin adjustments. Resolve Studio; follow the color-managed input requirements.","Free","2026-09-06","Unverified","OS support not established by the reviewed documentation.","https://github.com/geoffsmithBK/primera-suite#readme","2026-09-06","3","2026-08-28T18:40:03Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","LCS-VSP/LCS-DCTLs","https://github.com/LCS-VSP/LCS-DCTLs","Creative color-science DCTL collection shared by LCS-VSP. Consult individual tools for working-space requirements.","Public","2026-09-06","Unverified","OS support not established by the reviewed documentation.","https://github.com/LCS-VSP/LCS-DCTLs#readme","2026-09-06","23","2023-11-26T14:05:38Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","bobtronic73/free-DCTL","https://github.com/bobtronic73/free-DCTL","3x3 color-matrix and inverse-matrix DCTLs with a reusable color-math header.","Free","2026-09-06","Unverified","OS support not established by the reviewed documentation.","https://github.com/bobtronic73/free-DCTL#readme","2026-09-06","19","2024-12-11T05:44:56Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","ra100/dctl-utils","https://github.com/ra100/dctl-utils","Skin-tone indicator DCTL with hue, saturation, and luminance tolerances.","Free","2026-09-06","Unverified","OS support not established by the reviewed documentation.","https://github.com/ra100/dctl-utils#readme","2026-09-06","19","2023-12-20T15:57:13Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","OwenYou/DavinciResolveDCTL_HKEstimation","https://github.com/OwenYou/DavinciResolveDCTL_HKEstimation","Helmholtz-Kohlrausch effect estimation and compensation using four methods. Requires ACES2065-1 AP0/linear input; documented for Resolve 17.","Free","2026-09-06","Unverified","OS support not established by the reviewed documentation.","https://github.com/OwenYou/DavinciResolveDCTL_HKEstimation#readme","2026-09-06","14","2022-01-16T16:59:46Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","OwenYou/DavinciResolveDCTL_RemoveColorMask","https://github.com/OwenYou/DavinciResolveDCTL_RemoveColorMask","Interactive film color-mask removal DCTL. Upstream testing covers Resolve 15; current-version compatibility unverified.","Free","2026-09-06","Unverified","OS support not established by the reviewed documentation.","https://github.com/OwenYou/DavinciResolveDCTL_RemoveColorMask#readme","2026-09-06","12","2023-11-05T18:42:00Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","OwenYou/DavinciResolveDCTL_ChromaticAdaptation","https://github.com/OwenYou/DavinciResolveDCTL_ChromaticAdaptation","Chromatic-adaptation DCTL. Upstream testing covers Resolve 15; current-version compatibility unverified.","Free","2026-09-06","Unverified","OS support not established by the reviewed documentation.","https://github.com/OwenYou/DavinciResolveDCTL_ChromaticAdaptation#readme","2026-09-06","9","2023-11-05T18:41:13Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","helios1138/filmeon","https://github.com/helios1138/filmeon","Filmeon color-negative inversion DCTL for linear scans. Original DCTL workflow has been superseded by the developer's standalone web application.","Public","2026-09-06","Windows;macOS","DCTL installation documented; use non-color-managed linear scan input.","https://github.com/helios1138/filmeon#readme","2026-09-06","28","2026-05-22T18:34:21Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","50asa/shitsukan-diffusion-kit","https://github.com/50asa/shitsukan-diffusion-kit","Shitsukan multi-tap optical diffusion DCTL kit. Requires Resolve Studio and a scene-linear, four-tap blur node setup.","Free; MIT stated upstream","2026-09-06","Windows;macOS;Linux","","https://github.com/50asa/shitsukan-diffusion-kit#readme","2026-09-06","9","2026-06-02T22:53:39Z","2026-09-15T05:06:04.860Z"
"Color grading, DCTLs, film looks, and color science","nikita-petrovich/np-public-dctl","https://github.com/nikita-petrovich/np-public-dctl","Experimental Lazy Bleach, Lazy Grain, and saturation DCTLs. Resolve Studio 19.1+; proof-of-concept tools.","Free","2026-09-06","Windows;macOS;Linux","NVIDIA and Apple Silicon documented; other GPUs are untested.","https://github.com/nikita-petrovich/np-public-dctl#readme","2026-09-06","10","2026-06-26T12:15:47Z","2026-09-15T05:06:04.860Z"
"Developer libraries and scripting references","ctcwired/dctl-matrix-maker","https://github.com/ctcwired/dctl-matrix-maker","Python color-matrix solver using paired ColorChecker images; generates a DCTL. Requires colour-science; linear image data is preferred.","Free","2026-09-06","Unverified","OS support not established by the reviewed documentation.","https://github.com/ctcwired/dctl-matrix-maker#readme","2026-09-06","20","2024-07-26T17:11:12Z","2026-09-15T05:06:04.860Z"
"Developer libraries and scripting references","thatcherfreeman/dctl-tutorial","https://github.com/thatcherfreeman/dctl-tutorial","DCTL programming tutorial notes and supporting code.","Public","2026-09-06","Reference","","https://github.com/thatcherfreeman/dctl-tutorial#readme","2026-09-06","30","2025-08-04T21:19:58Z","2026-09-15T05:06:04.860Z"
"Developer libraries and scripting references","thatcherfreeman/dctl-text-rendering","https://github.com/thatcherfreeman/dctl-text-rendering","DCTL text-rendering example and Python font-header generator for tool developers.","Public","2026-09-06","Unverified","OS support not established by the reviewed documentation.","https://github.com/thatcherfreeman/dctl-text-rendering#readme","2026-09-06","11","2025-07-23T03:01:06Z","2026-09-15T05:06:04.860Z"
"Fusion, motion graphics, visual effects, and package management","Kartopod/BMD-FusionExtras","https://github.com/Kartopod/BMD-FusionExtras","Fusion quality-of-life scripts including Blender-style viewer transform shortcuts and node workflow helpers.","Free","2026-09-06","Unverified","OS support not established by the reviewed documentation.","https://github.com/Kartopod/BMD-FusionExtras#readme","2026-09-06","20","2026-01-23T01:44:47Z","2026-09-15T05:06:04.860Z"
"Fusion, motion graphics, visual effects, and package management","brunocbreis/SplitScreener","https://github.com/brunocbreis/SplitScreener","SplitScreener layout generator producing Fusion compositions for split-screen grids; distinct from its in-composition script version.","Public","2026-09-06","Unverified","OS support not established by the reviewed documentation.","https://github.com/brunocbreis/SplitScreener#readme","2026-09-06","8","2022-08-11T15:05:21Z","2026-09-15T05:06:04.860Z"
